# Applied migration ledger — snapshot of supabase_migrations.schema_migrations
# Production project dahdstopsumxnqvdclmy. Regenerate with: npm run migrations:snapshot
# One row per applied version, oldest first.  version<TAB>name
20260712033334	fs1_registration_month_key_backfill
20260712033345	fs3_billing_invoice_additive
20260712033350	fs5_revoke_anon_balance_rpc
20260712033429	fs5_revoke_anon_balance_rpc_from_public
20260714021846	fs1_registration_month_key_index
20260801052253	add_payroll_reviews
20260801053214	payroll_period_approval_replaces_per_row
20260802233421	r2_r3_revoke_anon_pin_access
20260803000639	phase1_narrow_anon_staff_columns
20260803004443	phase1_revoke_unused_anon_verbs
20260803004544	add_audit_log_hardened
20260811004713	add_attendance_records
20260811194330	add_staff_time_off_requests
20260811194724	staff_time_off_weekday_weekdays_only
20260811203003	fs5_phase1_revoke_add_day_anon
20260811213118	fs5_phase2_server_side_invoice_amount
20260811221121	add_invoice_send_stamp
20260811233400	billing_adjustments_model
20260811233420	billing_adjustments_branch_fn
20260812022755	parent_portal_phase0
20260812032647	policy_scoping_stage1_admin_predicate
20260812033138	policy_scoping_stage2_admin_only_tables
20260812034020	r26_complete_revoke_anon_staff_wages
20260812034816	policy_scoping_stage3_settings_by_key
20260812034845	policy_scoping_stage45_remaining_tables
20260812040340	r24_enforce_registration_window
20260812040957	r1_public_read_rpcs
20260812041303	r1_drop_anon_read_policies
20260812041552	t1_registration_email_payload
20260812043259	parent_portal_option_b_accounts
20260812044148	parent_portal_option_b_retire_phase0_auth
20260812142534	close_to_public_policy_leaks
20260812142549	close_to_public_policy_leaks_followup
20260812142847	revoke_unbacked_anon_grants
20260812143048	fix_public_waitlist_submit
20260812185354	phase1_daily_feed_schema
20260812185416	phase1_daily_feed_policies
20260812185455	phase1_staff_logging_rpcs
20260812185615	phase1_log_child_event_fix_attendance
20260812185821	phase1_fix_photo_consent_nested_rls
20260812190719	phase1_parent_reads_own_children
20260812191138	phase1_child_photos_bucket
20260812192140	revoke_staff_id_for_pin_from_anon
20260812205311	phase1_incident_reports
20260812210730	throttle_staff_pin_attempts
20260812211111	fix_lookup_staff_by_pin_found_reset
20260812213650	staff_signin_name_then_pin
20260812213722	staff_writes_require_identity
20260812214819	family_login_try_both_parent_slots
20260812222117	phase2_messaging
20260812222154	phase2_messaging_staff_rpcs
20260812222438	fix_staff_thread_messages_ambiguous_columns
20260812225452	staff_contact_details
20260813013655	fix_parent_registration_submit
20260813025705	student_allergies_reviewed_stamp
20260813025725	list_room_children_expose_allergy_review
20260813031327	parent_confirms_child_allergies
20260813041830	confirm_child_allergies_return_source
20260813214354	parent_account_tab
20260813215700	parent_schedule_tab
20260814002543	add_portal_session_family_reads
20260814165427	staff_injury_reports
20260814165457	center_headcount
20260814165517	fire_drills
20260814191951	clock_device_and_location_truth
20260814192126	revoke_anon_delete_truncate_clock_events
20260814192211	revoke_anon_delete_truncate_sweep
20260814193759	anon_grant_sweep_2026_08_14
20260816030005	incident_three_signatures
20260816030236	incident_kind_and_after_notes
20260816030924	staff_shift_swaps_and_my_shifts
20260816032212	missing_child_alerts
20260816032623	center_headcount_admin
20260816032659	center_headcount_admin_fix_attendance_join
20260816033056	announcement_audience_and_kind
20260816211756	public_staff_directory_rpc
20260816212515	staff_directory_hidden_names
20260817042457	finance_exceptions_and_actions
20260817042527	finance_tables_strip_default_grants
20260817202340	parent_billing_tab_and_grant_fix
20260818215249	payroll_proxy_rpc
20260818215712	payroll_save_staff_active_on_update
20260818221710	payroll_proxy_secret_trim_tolerant
20260819015846	staff_clock_pin_gated_rpcs
20260819015959	fix_staff_clock_out_event_id_type
20260819131816	fix_pin_gated_rpcs_must_be_volatile
20260819212850	phase0_sx1_sx9_sx11_grants_and_hygiene
20260820192647	mdo_payroll_approvals
